Timestamp,Type of cybersecurity assessment,Client identifier,Project delivery mode,Client industry,Approximate client organisation size,Years of Assessment/Project,Total number of consultants on the project,Number of systems and/or applications in scope,Approximate Number of meetings held with the client during the project,Client responsiveness level,Security maturity of client at project start,Total duration of the project (days),Did the project experience delays?,Overall compliance score (%),Total number of vulnerabilities identified,Number of critical/high vulnerabilities
5/10/26 11:53,PCI DSS,CLIENT 001,Fully Remote,Banking / Financial Services,Large (500–2000),2024,3,0 to 50,10,3,4,90,Yes,70,50 to 100,4
5/10/26 11:56,PCI DSS,CLIENT 002,Fully Remote,Banking / Financial Services,Large (500–2000),2025,3,0 to 50,15,3,3,150,Yes,80,0 to 50,5
5/10/26 12:08,PCI DSS,CLIENT 003,Hybrid,Banking / Financial Services,Enterprise (2000+),2025,2,100 to 150,10,2,4,210,Yes,80%,50 to 100,3
5/10/26 12:25,ISO 27001,CLIENT 004,Hybrid,Banking / Financial Services,Large (500–2000),2023,2,50 to 100,Between 50 - 100,3,3,100 working days,Yes,85,0 to 50,Less than 20
5/10/26 12:32,PCI DSS,CLIENT 005,Fully Remote,Banking / Financial Services,Small (<100 employees,2025,2,0 to 50,15,3,2,140,Yes,95,0 to 50,2
5/10/26 12:33,PCI DSS,CLIENT 006,Fully Remote,Fintech,Small (<100 employees,2025,2,0 to 50,20,4,3,130,Yes,90,0 to 50,3
5/10/26 14:13,VAPT,CLIENT 007,Hybrid,Other,Small (<100 employees,2026,2,> 200,3,3,2,45,Yes,40,50 to 100,14
5/10/26 14:15,PCI DSS,CLIENT 008,Fully Remote,Banking / Financial Services,Small (<100 employees,2025,2,0 to 50,About 6,4,3,120 days,Yes,95%,0 to 50,11 critical and 3 High
5/10/26 14:26,PCI DSS,CLIENT 009,Hybrid,Banking / Financial Services,Large (500–2000),2024,2,0 to 50,15,3,2,55,Yes,88,50 to 100,30
5/10/26 14:28,PCI DSS,CLIENT 010,Fully Remote,Fintech,Small (<100 employees,2025,2,0 to 50,10,2,3,65,Yes,75,0 to 50,5
5/10/26 14:28,PCI DSS,CLIENT 011,Hybrid,Banking / Financial Services,Large (500–2000),2025,2,50 to 100,10,3,2,90,Yes,89,50 to 100,10
5/10/26 15:05,PCI DSS,CLIENT 012,Hybrid,Banking / Financial Services,Enterprise (2000+),2024,2,50 to 100,15,3,3,120,Yes,92,50 to 100,20
5/10/26 16:30,SWIFT,CLIENT 013,Fully Remote,Banking / Financial Services,Small (<100 employees,2025,2,0 to 50,10,4,3,15 days,No,70,0 to 50,5
5/10/26 18:25,SWIFT,CLIENT 014,Fully Remote,Banking / Financial Services,Small (<100 employees,2025,2,0 to 50,10,3,3,14,No,75,0 to 50,4
5/10/26 18:27,IMS,CLIENT 015,Hybrid,Banking / Financial Services,Enterprise (2000+),2025,more than 4,0 to 50,More than 40,3,3,150,Yes,70%,0 to 50,1
5/10/26 18:28,PCI DSS,CLIENT 016,Fully Remote,Banking / Financial Services,Medium (100–500),2025,2,50 to 100,5,5,4,90 days,No,97%,0 to 50,65 - 70
